Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,Value
2000,SH_DYN_NMRT,,F,M0,,,PER_100_LIVE_BIRTHS,34.1
2005,SH_DYN_NMRT,,F,M0,,,PER_100_LIVE_BIRTHS,30.0
2010,SH_DYN_NMRT,,F,M0,,,PER_100_LIVE_BIRTHS,27.0
2014,SH_DYN_NMRT,,F,M0,,,PER_100_LIVE_BIRTHS,20.0
2000,SH_DYN_NMRT,,F,Y0,,,PER_100_LIVE_BIRTHS,34.1
2005,SH_DYN_NMRT,,F,Y0,,,PER_100_LIVE_BIRTHS,30.0
2010,SH_DYN_NMRT,,F,Y0,,,PER_100_LIVE_BIRTHS,27.0
2014,SH_DYN_NMRT,,F,Y0,,,PER_100_LIVE_BIRTHS,20.0
2000,SH_DYN_NMRT,,M,M0,,,PER_100_LIVE_BIRTHS,44.0
2005,SH_DYN_NMRT,,M,M0,,,PER_100_LIVE_BIRTHS,42.0
2010,SH_DYN_NMRT,,M,M0,,,PER_100_LIVE_BIRTHS,36.0
2014,SH_DYN_NMRT,,M,M0,,,PER_100_LIVE_BIRTHS,22.0
2000,SH_DYN_NMRT,,M,Y0,,,PER_100_LIVE_BIRTHS,44.0
2005,SH_DYN_NMRT,,M,Y0,,,PER_100_LIVE_BIRTHS,42.0
2010,SH_DYN_NMRT,,M,Y0,,,PER_100_LIVE_BIRTHS,36.0
2014,SH_DYN_NMRT,,M,Y0,,,PER_100_LIVE_BIRTHS,22.0
2000,SH_DYN_NMRT,,,M0,,,PER_100_LIVE_BIRTHS,37.3
2005,SH_DYN_NMRT,,,M0,,,PER_100_LIVE_BIRTHS,28.0
2010,SH_DYN_NMRT,,,M0,,,PER_100_LIVE_BIRTHS,27.0
2014,SH_DYN_NMRT,,,M0,,,PER_100_LIVE_BIRTHS,18.0
2005,SH_DYN_NMRT,,,M0,,Q1,PER_100_LIVE_BIRTHS,34.0
2010,SH_DYN_NMRT,,,M0,,Q1,PER_100_LIVE_BIRTHS,39.0
2014,SH_DYN_NMRT,,,M0,,Q1,PER_100_LIVE_BIRTHS,27.0
2005,SH_DYN_NMRT,,,M0,,Q2,PER_100_LIVE_BIRTHS,45.0
2010,SH_DYN_NMRT,,,M0,,Q2,PER_100_LIVE_BIRTHS,34.0
