Year,SERIES,តំបន់យោង,ការរួមភេទ,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,Value
2004,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,20.0
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,18.5
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,35.2
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,44.2
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,45.9
2009,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,47.3
2010,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,44.3
2011,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,41.6
2012,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,40.4
2013,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,40.0
2014,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,41.8
2015,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,41.3
2016,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,46.0
2017,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,49.0
2018,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,50.2
2019,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,,ភាគរយ,49.5
2004,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,37.3
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,33.8
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,70.1
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,79.8
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,73.1
